Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,0062407805,9780062407801,4,4.37,Harper Business,Hardcover,274,2016,2016,,31/3/22,read-business,read-business (#4),read,,,,1,0
8250985,The Kaiser's Holocaust: Germany's Forgotten Genocide and the Colonial Roots of Nazism,David Olusoga,"Olusoga, David",Casper W. Erichsen,0571231411,9780571231416,2,4.29,Faber & Faber,Hardcover,394,2011,2010,,30/6/22,read-history,read-history (#26),read,,,,1,0
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,0380973650,9780380973651,2,4.11,William Morrow,Kindle Edition,635,2011,2001,,15/7/22,read-fantasy-fiction,read-fantasy-fiction (#69),read,,,,1,0
565425,"Diamonds, Gold, and War: The British, the Boers, and the Making of South Africa",Martin Meredith,"Meredith, Martin",,1586484737,9781586484736,1,4.01,PublicAffairs,Hardcover,570,2007,2007,,15/7/22,read-history,read-history (#28),read,,,,1,0
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,0385537859,9780385537858,1,3.88,Doubleday,Hardcover,463,2013,2013,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#37),read,,,,1,0
46266188,The Fifth Risk: Undoing Democracy,Michael   Lewis,"Lewis, Michael",,0393357457,9780393357455,1,4.1,W. W. Norton  Company,Paperback,255,2019,2018,,31/3/22,read-business,read-business (#6),read,,,,1,0
13588385,There Was a Country: A Personal History of Biafra,Chinua Achebe,"Achebe, Chinua",,1594204829,9781594204821,2,4,Penguin Press,Hardcover,352,2012,2012,,31/3/22,read-history,read-history (#15),read,,,,1,0
25135194,Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,Tim  Marshall,"Marshall, Tim",,1783961414,9781783961412,3,4.2,Elliott & Thompson,Hardcover,256,2015,2015,,31/3/22,read-history,read-history (#16),read,,,,1,0
10046142,Dancing in the Glory of Monsters: The Collapse of the Congo and the Great War of Africa,Jason K. Stearns,"Stearns, Jason K.",,1586489291,9781586489298,4,4.17,PublicAffairs,Hardcover,400,2011,2010,,31/3/22,read-history,read-history (#17),read,,,,1,0
12158480,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,0307719219,9780307719218,2,4.08,Crown Business,Hardcover,529,2012,2012,,2/4/22,read-history,read-history (#18),read,,,,1,0
